n-components,fit-time-random-feature,transform-time-random-feature,training-time-linear-ridge-classification,prediction-time-linear-ridge-classification,score-in-test-linear-ridge-classification
2508,0.002739429473876953,0.10956907272338867,0.6227068901062012,0.018420934677124023,0.8442651164569549
2566,0.002740144729614258,0.1099700927734375,0.5218260288238525,0.018645048141479492,0.8441503805407886
321,0.0005288124084472656,0.019727706909179688,0.020954132080078125,0.002794981002807617,0.8445328335946762
378,0.0005900859832763672,0.023294925689697266,0.12076592445373535,0.003383159637451172,0.8440356446246223
436,0.000640869140625,0.02713775634765625,0.03772592544555664,0.003428220748901367,0.8442268711515661
493,0.0007100105285644531,0.026580810546875,0.04326605796813965,0.004228830337524414,0.8437296821815122
551,0.0007579326629638672,0.023150205612182617,0.04595208168029785,0.004503965377807617,0.844571078900065
609,0.0008449554443359375,0.026252031326293945,0.05205512046813965,0.004764080047607422,0.8440738899300111
666,0.0008721351623535156,0.03231501579284668,0.08380389213562012,0.0047969818115234375,0.8441503805407886
724,0.0009379386901855469,0.039811134338378906,0.07220888137817383,0.005783796310424805,0.8439973993192336
781,0.0009970664978027344,0.03779888153076172,0.07970619201660156,0.005890846252441406,0.8440738899300111
839,0.0010497570037841797,0.03927206993103027,0.08311295509338379,0.006078004837036133,0.8443798523731212
896,0.001096963882446289,0.041709184646606445,0.0934000015258789,0.006798982620239258,0.8440738899300111
954,0.00115203857421875,0.04364013671875,0.10547208786010742,0.0077838897705078125,0.8438826634030673
1011,0.0012278556823730469,0.04747509956359863,0.09974288940429688,0.0071637630462646484,0.8443416070677324
1069,0.0017883777618408203,0.0475308895111084,0.10866904258728027,0.00804591178894043,0.8441121352353999
1127,0.0013620853424072266,0.05402493476867676,0.1275618076324463,0.00872182846069336,0.843920908708456
1184,0.0014150142669677734,0.05443096160888672,0.13225984573364258,0.008611679077148438,0.8443416070677324
1242,0.0014700889587402344,0.05809926986694336,0.1533198356628418,0.009055852890014648,0.843920908708456
1299,0.0014920234680175781,0.05945873260498047,0.14863181114196777,0.009473085403442383,0.8442268711515661
1357,0.002001047134399414,0.06165289878845215,0.1432170867919922,0.009133100509643555,0.8440356446246223
1414,0.0016078948974609375,0.06525588035583496,0.15549063682556152,0.009936809539794922,0.8443416070677324
1472,0.001680135726928711,0.06669402122497559,0.2643849849700928,0.010223150253295898,0.8438826634030673
1529,0.0017237663269042969,0.06949710845947266,0.17905473709106445,0.01060795783996582,0.8442651164569549
1587,0.0017879009246826172,0.0714559555053711,0.1930079460144043,0.011096000671386719,0.8440738899300111
1645,0.0018482208251953125,0.07326388359069824,0.2012338638305664,0.011961936950683594,0.8440738899300111
1702,0.0019290447235107422,0.07563185691833496,0.21247625350952148,0.012093067169189453,0.8442651164569549
1760,0.0019459724426269531,0.0771169662475586,0.22954583168029785,0.01208186149597168,0.8440738899300111
1817,0.0020999908447265625,0.08190798759460449,0.24434995651245117,0.012572050094604492,0.8442268711515661
1875,0.002146005630493164,0.0835731029510498,0.2529458999633789,0.014258861541748047,0.8439973993192336
1932,0.0026247501373291016,0.08990883827209473,0.2986481189727783,0.01407313346862793,0.8440738899300111
1990,0.0022368431091308594,0.08871793746948242,0.3246421813964844,0.014631271362304688,0.8440738899300111
2048,0.002226114273071289,0.09196281433105469,0.3420448303222656,0.013926982879638672,0.8443033617623437
2105,0.0023179054260253906,0.09748578071594238,0.36805200576782227,0.015336990356445312,0.8441503805407886
2163,0.0023927688598632812,0.10459208488464355,0.3440573215484619,0.01572704315185547,0.8441121352353999
2220,0.0024559497833251953,0.10094881057739258,0.3873419761657715,0.016052961349487305,0.8441503805407886
2278,0.0026171207427978516,0.10741996765136719,0.41765904426574707,0.016528844833374023,0.8440738899300111
2335,0.0025229454040527344,0.10471701622009277,0.42370104789733887,0.017033100128173828,0.8442651164569549
2393,0.0026187896728515625,0.11177396774291992,0.46613097190856934,0.017917156219482422,0.8444563429838987
2450,0.0026350021362304688,0.10644888877868652,0.491131067276001,0.01832723617553711,0.8441121352353999
