n-components,fit-time-random-feature,transform-time-random-feature,training-time-SVC-kernel-linear,prediction-time-SVC-kernel-linear,score-in-test-SVC-kernel-linear,training-time-linear-SVC-dual-false,prediction-time-linear-SVC-dual-false,score-in-test-linear-SVC-dual-false
64,0.00015616416931152344,0.0026938915252685547,0.0066051483154296875,0.002110004425048828,0.8051948051948052,0.0025641918182373047,0.00018906593322753906,0.8008658008658008
67,0.0001480579376220703,0.010525226593017578,0.0071620941162109375,0.0023488998413085938,0.8095238095238095,0.002839803695678711,0.00021600723266601562,0.7965367965367965
70,0.0001480579376220703,0.0015528202056884766,0.006874799728393555,0.002315998077392578,0.8138528138528138,0.003209352493286133,0.0003142356872558594,0.7965367965367965
74,0.00014400482177734375,0.0004949569702148438,0.007339954376220703,0.0024640560150146484,0.8138528138528138,0.0031502246856689453,0.00019478797912597656,0.8008658008658008
77,0.00013518333435058594,0.0016047954559326172,0.00796198844909668,0.0024261474609375,0.8095238095238095,0.003342866897583008,0.00029206275939941406,0.7965367965367965
81,0.0001430511474609375,0.0008819103240966797,0.007738828659057617,0.0025908946990966797,0.8095238095238095,0.0030279159545898438,0.00039768218994140625,0.7965367965367965
5,0.0001327991485595703,5.316734313964844e-05,0.0028429031372070312,0.0007700920104980469,0.8008658008658008,0.0007178783416748047,7.081031799316406e-05,0.8008658008658008
6,0.00012803077697753906,4.9114227294921875e-05,0.0023429393768310547,0.0006997585296630859,0.7922077922077922,0.0006279945373535156,6.389617919921875e-05,0.7792207792207793
7,0.00012993812561035156,5.602836608886719e-05,0.0028619766235351562,0.0007321834564208984,0.7965367965367965,0.0007307529449462891,8.106231689453125e-05,0.8008658008658008
7,0.00012087821960449219,5.1975250244140625e-05,0.002862215042114258,0.0007839202880859375,0.7965367965367965,0.0007851123809814453,8.511543273925781e-05,0.8008658008658008
8,0.00012421607971191406,5.984306335449219e-05,0.0023598670959472656,0.0007166862487792969,0.8095238095238095,0.0007150173187255859,6.914138793945312e-05,0.8095238095238095
9,0.00012636184692382812,6.079673767089844e-05,0.0029458999633789062,0.0007712841033935547,0.7965367965367965,0.0007829666137695312,9.083747863769531e-05,0.7965367965367965
10,0.00012493133544921875,8.296966552734375e-05,0.002841949462890625,0.0007359981536865234,0.8051948051948052,0.0006928443908691406,0.00014495849609375,0.8051948051948052
10,0.00016307830810546875,6.794929504394531e-05,0.0028731822967529297,0.0007691383361816406,0.8051948051948052,0.0007240772247314453,0.00011229515075683594,0.8051948051948052
11,0.00014734268188476562,6.985664367675781e-05,0.0031380653381347656,0.0008599758148193359,0.8138528138528138,0.0007290840148925781,8.606910705566406e-05,0.7965367965367965
