n-components,fit-time-random-feature,score-in-test,transform-time-random-feature
1921,0.014879941940307617,0.4544409225168551,0.15979599952697754
1965,0.010087013244628906,0.46397615319838226,0.10535693168640137
246,0.00164794921875,0.3675323314641672,0.025203943252563477
290,0.0018291473388671875,0.3902138040606924,0.06775116920471191
334,0.002050161361694336,0.5122283224881593,0.04920601844787598
378,0.0022509098052978516,0.4409352421968553,0.022325992584228516
422,0.002476930618286133,0.46115037518932617,0.07430768013000488
466,0.0027060508728027344,0.5101624786198393,0.04044914245605469
510,0.0029289722442626953,0.44165595385497247,0.026542186737060547
554,0.0031189918518066406,0.5101681192741979,0.05263996124267578
598,0.0036237239837646484,0.4926242130757205,0.03662705421447754
642,0.003512144088745117,0.42714438601764604,0.03843092918395996
686,0.0037560462951660156,0.5367105017036771,0.058354854583740234
731,0.004110097885131836,0.5543611693179467,0.055991172790527344
775,0.004231929779052734,0.4437019988171546,0.07552099227905273
819,0.00446319580078125,0.45130975349724267,0.041635751724243164
863,0.004706144332885742,0.4424457460794126,0.07963776588439941
907,0.012746095657348633,0.47562617419404674,0.12455296516418457
951,0.007651090621948242,0.48029577830829245,0.0878000259399414
995,0.005255937576293945,0.46591173662072516,0.08461403846740723
1039,0.005505084991455078,0.4024364347398569,0.061691999435424805
1083,0.005647182464599609,0.4275325409832412,0.07423710823059082
1127,0.006139993667602539,0.44448044541883847,0.06562018394470215
1171,0.007871866226196289,0.48739960299260776,0.0691220760345459
1215,0.006442070007324219,0.47147620944605073,0.06306219100952148
1259,0.00654911994934082,0.46470985678592414,0.08089709281921387
1304,0.006987571716308594,0.46154383579045355,0.09354424476623535
1348,0.007225751876831055,0.5153108259227432,0.0739588737487793
1392,0.007372140884399414,0.44725822553481154,0.10521912574768066
1436,0.007445812225341797,0.4355264163977427,0.09804320335388184
1480,0.007894039154052734,0.45693658935216697,0.08147311210632324
1524,0.007933855056762695,0.4509846718000562,0.08625507354736328
1568,0.008152961730957031,0.47791969842384074,0.0906980037689209
1612,0.008404970169067383,0.46703590865567446,0.08762288093566895
1656,0.008697032928466797,0.4437509156399032,0.11037206649780273
1700,0.008782148361206055,0.4532765502482612,0.10423779487609863
1744,0.008996009826660156,0.4628994952980762,0.1540679931640625
1788,0.009222030639648438,0.5016635818118161,0.10116004943847656
1833,0.009817838668823242,0.4895797077420026,0.11669397354125977
1877,0.009811878204345703,0.45842268543841347,0.10656309127807617
1921,0.01001596450805664,0.4702436135982555,0.11126017570495605
1965,0.010130882263183594,0.45420156054762295,0.15683722496032715
246,0.001619100570678711,0.47339770149809773,0.09705400466918945
290,0.00185394287109375,0.45031847008711146,0.040434837341308594
334,0.0021567344665527344,0.4475152483998784,0.04315495491027832
378,0.002274036407470703,0.49778051614887925,0.06970405578613281
422,0.0025000572204589844,0.4596469239634511,0.051329612731933594
466,0.0027379989624023438,0.49112032998419586,0.035115957260131836
510,0.003175020217895508,0.4557794364140016,0.03728079795837402
554,0.003078937530517578,0.45379706954235977,0.0443568229675293
598,0.0034999847412109375,0.5333888063278586,0.03916311264038086
642,0.0036458969116210938,0.4536482432327393,0.05389285087585449
686,0.0037391185760498047,0.416163200373946,0.07218694686889648
731,0.004071950912475586,0.4764230679298352,0.09409713745117188
775,0.004254341125488281,0.5183314298210514,0.11657094955444336
819,0.004504680633544922,0.5200173468468224,0.10010004043579102
863,0.0046939849853515625,0.44218481788498454,0.04864501953125
907,0.0049211978912353516,0.511254829803771,0.062438011169433594
951,0.0052490234375,0.4259722665105392,0.06231975555419922
995,0.005357027053833008,0.5057243233281965,0.09846925735473633
1039,0.0055408477783203125,0.42736110091224455,0.07542705535888672
1083,0.005821943283081055,0.4399593626820588,0.07383394241333008
1127,0.006033897399902344,0.5042955033115557,0.08930110931396484
1171,0.0061168670654296875,0.43948873304460606,0.06916499137878418
1215,0.00639796257019043,0.45288445649995185,0.06720590591430664
1259,0.006652116775512695,0.4197915986376248,0.08294296264648438
1304,0.006783962249755859,0.46918258312525946,0.11552906036376953
1348,0.007048845291137695,0.4975605792346647,0.1301710605621338
1392,0.007308006286621094,0.49648634672934466,0.07460784912109375
1436,0.011040925979614258,0.480338503800799,0.11071085929870605
1480,0.007909059524536133,0.5148188312346622,0.0925898551940918
1524,0.01223897933959961,0.48306013998345554,0.08109498023986816
1568,0.008826017379760742,0.4796545703253427,0.13978290557861328
1612,0.008456945419311523,0.5214705862072775,0.13283610343933105
1656,0.008677959442138672,0.46574057051050066,0.09346818923950195
1700,0.009135246276855469,0.4594897621949581,0.11359906196594238
1744,0.009287834167480469,0.4203648051585592,0.15366816520690918
1788,0.009185075759887695,0.5046589986258606,0.10465788841247559
1833,0.009688138961791992,0.4709063567501343,0.10720300674438477
1877,0.012958049774169922,0.5129371809617814,0.11087298393249512
1921,0.010200023651123047,0.4636988496670699,0.1918630599975586
1965,0.011115074157714844,0.472241017281819,0.1075136661529541
246,0.001603841781616211,0.39443921562157186,0.025641918182373047
290,0.0018551349639892578,0.4428908749074737,0.06228303909301758
334,0.0020749568939208984,0.3909126609539875,0.0281219482421875
378,0.005110979080200195,0.4865550264198855,0.02672410011291504
422,0.0024907588958740234,0.42742930653153927,0.050115108489990234
466,0.002711057662963867,0.45718280110413795,0.04919099807739258
510,0.0030019283294677734,0.4133173564570293,0.05411195755004883
554,0.003159046173095703,0.4694002801749843,0.03620100021362305
598,0.0034029483795166016,0.434723418277901,0.10509181022644043
642,0.0035440921783447266,0.46251381615150616,0.06398797035217285
686,0.0055637359619140625,0.47276606438471064,0.04819297790527344
731,0.0040090084075927734,0.4551299458684431,0.05316019058227539
775,0.004333019256591797,0.49815204000504454,0.05156707763671875
819,0.004534006118774414,0.48267016837241244,0.07014608383178711
863,0.004645109176635742,0.5076931808437971,0.05165886878967285
907,0.004911899566650391,0.49752714640617013,0.08491277694702148
951,0.005693912506103516,0.46120369653106624,0.06703996658325195
995,0.007385969161987305,0.4765366814146797,0.10228109359741211
1039,0.005526065826416016,0.40602055264616127,0.07919931411743164
1083,0.0058438777923583984,0.45687345795621065,0.06386685371398926
1127,0.005967140197753906,0.500036117863771,0.08631682395935059
1171,0.006140947341918945,0.4942248053696812,0.08166289329528809
1215,0.006507158279418945,0.4428758143037901,0.06372308731079102
1259,0.006623029708862305,0.48505860297427894,0.06941008567810059
1304,0.006824016571044922,0.47603883445359224,0.10024571418762207
1348,0.013089656829833984,0.48476897060389246,0.10635995864868164
1392,0.007489919662475586,0.4798273897571308,0.09050893783569336
1436,0.007632732391357422,0.47434209543284656,0.0870809555053711
1480,0.007895231246948242,0.4412611593766554,0.09700393676757812
1524,0.00793910026550293,0.4471617132772692,0.0958719253540039
1568,0.016556978225708008,0.4565973129521974,0.10535001754760742
1612,0.019248247146606445,0.5103758298343148,0.1415390968322754
1656,0.008801698684692383,0.45894393180175924,0.12443113327026367
1700,0.016133785247802734,0.4565104956047136,0.09801292419433594
1744,0.009918928146362305,0.4954468134400817,0.09798812866210938
1788,0.009310007095336914,0.45593462366500676,0.1655139923095703
1833,0.009572982788085938,0.4695787698171718,0.11462903022766113
1877,0.009911775588989258,0.4577532331842612,0.10169696807861328
1921,0.010092973709106445,0.4613364256962345,0.16855692863464355
